Date,Open,High,Low,Close,Volume
2024-10-18,3780.31,3998.21,3765.16,3925.23,312958834
2024-10-21,3946.9,3979.26,3896.17,3935.2,291185634
2024-10-22,3923.74,3965.91,3917.52,3957.78,223433396
2024-10-23,3955.32,4012.18,3939.1,3973.21,245873949
2024-10-24,3950.9,3957.98,3914.09,3928.83,174724062
2024-10-25,3931.32,3992.89,3921.94,3956.42,210694885
2024-10-28,3953.11,3964.16,3917.2,3964.16,216160415
2024-10-29,3970.01,3991.31,3921.58,3924.65,217293984
2024-10-30,3904.16,3926.06,3864.31,3889.45,219436626
2024-10-31,3888.42,3923.9,3859.11,3891.04,300636718
2024-11-01,3882.46,3933.22,3879.96,3890.02,307986481
2024-11-04,3897.71,3944.76,3891.21,3944.76,229239060
2024-11-05,3937.62,4046.7,3925.41,4044.57,316862794
2024-11-06,4051.29,4091.7,4002.5,4024.28,335807938
2024-11-07,3987.27,4146.15,3984.67,4145.7,341436414
2024-11-08,4192.08,4200.91,4094.16,4104.05,332350385
2024-11-11,4066.93,4132.51,4048.04,4131.13,289594227
2024-11-12,4133.35,4181.71,4060.79,4085.74,297778086
2024-11-13,4059.59,4121.07,4059.59,4110.89,240484099
2024-11-14,4101.22,4118.17,4034.94,4039.62,230152784
2024-11-15,4025.65,4049.07,3968.83,3968.83,247399463
2024-11-18,3982.1,4034.06,3931.19,3950.38,306777946
2024-11-19,3954.6,3979.15,3896.75,3976.89,242946465
2024-11-20,3966.12,4001.08,3958.34,3985.77,184599372
2024-11-21,3979.46,3999.57,3966.07,3989.3,166125927
2024-11-22,3984.24,3990.26,3865.7,3865.7,216285809
2024-11-25,3875.61,3889.71,3812.32,3848.09,190702953
2024-11-26,3836.26,3875.23,3833.28,3840.18,149892441
2024-11-27,3829.34,3907.16,3817.91,3907.04,174136096
2024-11-28,3904.25,3908.39,3866.01,3872.55,150117291
2024-11-29,3869.89,3962.7,3869.89,3916.58,187656713
2024-12-02,3909.7,3955.13,3902.17,3947.63,197289784
2024-12-03,3946.7,3963.95,3922.84,3951.89,182496867
2024-12-04,3948.13,3957.37,3917.75,3930.56,174626318
2024-12-05,3916.56,3936.34,3910.08,3921.59,138534038
2024-12-06,3923.9,3995.12,3923.9,3973.14,192057907
2024-12-09,3970.66,3995.51,3948.42,3966.57,175959958
2024-12-10,4094.05,4098.38,3988.97,3995.64,253463795
2024-12-11,3988.02,4005.33,3977.35,3988.83,177252846
2024-12-12,3987.15,4031.74,3981.35,4028.5,181621777
2024-12-13,4000.99,4000.99,3931.74,3933.18,230353079
2024-12-16,3930.78,3938.76,3901.65,3911.84,178511251
2024-12-17,3908.13,3955.95,3908.13,3922.03,160939090
2024-12-18,3934.54,3956.14,3933.97,3941.89,157738321
2024-12-19,3911.89,3954.35,3899.75,3945.46,161081040
2024-12-20,3937.47,3958.63,3923.26,3927.74,154986496
2024-12-23,3928.15,3965.85,3928.15,3933.57,190067362
2024-12-24,3934.94,3985.86,3934.73,3983.69,161494589
2024-12-25,3987.96,4007.76,3969.48,3985.63,159390747
2024-12-26,3981.73,3991.53,3965.55,3987.48,143425286
2024-12-27,3987.02,4007.13,3970.94,3981.03,169268666
2024-12-30,3976.7,4005.78,3976.7,3999.05,164612485
2024-12-31,3995.87,4004.35,3934.91,3934.91,183928397
2025-01-02,3931.82,3934.2,3796.34,3820.4,217898724
2025-01-03,3825.24,3835.94,3767.67,3775.16,175342676
2025-01-06,3775.99,3788.85,3743.07,3768.97,150946670
2025-01-07,3760.87,3797.6,3749.06,3796.11,146455779
2025-01-08,3781.26,3810.74,3731.19,3789.22,169166968
2025-01-09,3780.73,3795.26,3768.68,3779.88,129794002
2025-01-10,3778.89,3786.81,3732.48,3732.48,137523171
2025-01-13,3704.44,3737.89,3704.11,3722.51,136446199
2025-01-14,3728.56,3826.64,3718.88,3820.54,170664657
2025-01-15,3810.04,3816.83,3790.17,3796.03,141475520
2025-01-16,3812.19,3842.95,3776.29,3800.38,144505871
2025-01-17,3788.37,3831.64,3780.21,3812.34,126621961
2025-01-20,3835.3,3858.67,3821.98,3829.68,139581277
2025-01-21,3850.36,3850.91,3817.12,3832.61,141218406
2025-01-22,3823.94,3823.94,3783.14,3797.02,137255062
2025-01-23,3829.05,3864.26,3801.85,3803.74,180569551
2025-01-24,3793.85,3847.6,3793.48,3832.86,148971722
2025-01-27,3836.96,3852.0,3817.08,3817.08,146670772
2025-02-05,3844.7,3844.7,3785.16,3795.08,157168308
2025-02-06,3789.61,3843.49,3788.32,3842.83,167288176
2025-02-07,3844.06,3919.35,3833.87,3892.7,221857707
2025-02-10,3898.1,3906.37,3878.83,3901.06,188903040
2025-02-11,3905.16,3905.16,3872.91,3883.14,166574909
